sets,artist,venue,month,day,year,tour,festival,song_num,num,album,city,date,city_day,num_show,city_num,choice_name
Classical,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,18,2025,Only God Was Above Us,VW Show,5,37,Only God Was Above Us,Montclair,2025-09-18,Montclair 18,84,Montclair 4,Montclair 4: 2025-09-18
Connect,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,18,2025,Only God Was Above Us,VW Show,6,38,Only God Was Above Us,Montclair,2025-09-18,Montclair 18,84,Montclair 4,Montclair 4: 2025-09-18
White Sky,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,18,2025,Only God Was Above Us,VW Show,7,14,Contra,Montclair,2025-09-18,Montclair 18,84,Montclair 4,Montclair 4: 2025-09-18
Cape Cod Kwassa Kwassa,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,18,2025,Only God Was Above Us,VW Show,8,4,Vampire Weekend,Montclair,2025-09-18,Montclair 18,84,Montclair 4,Montclair 4: 2025-09-18
This Life,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,18,2025,Only God Was Above Us,VW Show,9,57,Father of the Bride,Montclair,2025-09-18,Montclair 18,84,Montclair 4,Montclair 4: 2025-09-18
Sunflower,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,18,2025,Only God Was Above Us,VW Show,10,65,Father of the Bride,Montclair,2025-09-18,Montclair 18,84,Montclair 4,Montclair 4: 2025-09-18
Diplomat's Son,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,18,2025,Only God Was Above Us,VW Show,11,21,Contra,Montclair,2025-09-18,Montclair 18,84,Montclair 4,Montclair 4: 2025-09-18
2021,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,18,2025,Only God Was Above Us,VW Show,12,67,Father of the Bride,Montclair,2025-09-18,Montclair 18,84,Montclair 4,Montclair 4: 2025-09-18
Capricorn,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,18,2025,Only God Was Above Us,VW Show,14,36,Only God Was Above Us,Montclair,2025-09-18,Montclair 18,84,Montclair 4,Montclair 4: 2025-09-18
Gen-X Cops,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,18,2025,Only God Was Above Us,VW Show,15,39,Only God Was Above Us,Montclair,2025-09-18,Montclair 18,84,Montclair 4,Montclair 4: 2025-09-18
Diane Young,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,18,2025,Only God Was Above Us,VW Show,16,27,Modern Vampires of the City,Montclair,2025-09-18,Montclair 18,84,Montclair 4,Montclair 4: 2025-09-18
Cousins,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,18,2025,Only God Was Above Us,VW Show,17,19,Contra,Montclair,2025-09-18,Montclair 18,84,Montclair 4,Montclair 4: 2025-09-18
A-Punk,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,18,2025,Only God Was Above Us,VW Show,18,3,Vampire Weekend,Montclair,2025-09-18,Montclair 18,84,Montclair 4,Montclair 4: 2025-09-18
Prep-School Gangsters,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,18,2025,Only God Was Above Us,VW Show,19,43,Only God Was Above Us,Montclair,2025-09-18,Montclair 18,84,Montclair 4,Montclair 4: 2025-09-18
