sets,artist,venue,month,day,year,tour,song_num,album,city
Sympathy,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,10,2024,Only God Was Above Us,10,Father of the Bride,London
New Dorp. New York,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,10,2024,Only God Was Above Us,11,Other,London
Pravda,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,10,2024,Only God Was Above Us,12,Only God Was Above Us,London
How Long?,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,10,2024,Only God Was Above Us,13,Father of the Bride,London
Capricorn,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,10,2024,Only God Was Above Us,14,Only God Was Above Us,London
Gen-X Cops,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,10,2024,Only God Was Above Us,15,Only God Was Above Us,London
Diane Young,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,10,2024,Only God Was Above Us,16,Modern Vampires of the City,London
A-Punk,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,10,2024,Only God Was Above Us,17,Vampire Weekend,London
Prep-School Gangsters,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,10,2024,Only God Was Above Us,18,Only God Was Above Us,London
Obvious Bicycle,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,10,2024,Only God Was Above Us,19,Modern Vampires of the City,London
Mary Boone,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,10,2024,Only God Was Above Us,20,Only God Was Above Us,London
Harmony Hall,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,10,2024,Only God Was Above Us,21,Father of the Bride,London
Hope,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,10,2024,Only God Was Above Us,22,Only God Was Above Us,London
Worship You,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,10,2024,Only God Was Above Us,36,Modern Vampires of the City,London
Ya Hey,Vampire Weekend,"O2 Academy Brixton, London, England",Dec,10,2024,Only God Was Above Us,37,Modern Vampires of the City,London
