sets,artist,venue,month,day,year,tour,festival,song_num,num,album,city
Sunflower,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,15,2025,Only God Was Above Us,0,10,65,Father of the Bride,Montclair
Pravda,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,15,2025,Only God Was Above Us,0,11,44,Only God Was Above Us,Montclair
Ottoman,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,15,2025,Only God Was Above Us,0,12,47,Other,Montclair
Capricorn,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,15,2025,Only God Was Above Us,0,14,36,Only God Was Above Us,Montclair
Gen-X Cops,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,15,2025,Only God Was Above Us,0,15,39,Only God Was Above Us,Montclair
Diane Young,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,15,2025,Only God Was Above Us,0,16,27,Modern Vampires of the City,Montclair
A-Punk,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,15,2025,Only God Was Above Us,0,17,3,Vampire Weekend,Montclair
Prep-School Gangsters,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,15,2025,Only God Was Above Us,0,18,43,Only God Was Above Us,Montclair
Mary Boone,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,15,2025,Only God Was Above Us,0,19,41,Only God Was Above Us,Montclair
Harmony Hall,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,15,2025,Only God Was Above Us,0,20,55,Father of the Bride,Montclair
Hope,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,15,2025,Only God Was Above Us,0,21,42,Only God Was Above Us,Montclair
Walcott,Vampire Weekend,"Wellmont Theater, Montclair, NJ, USA",Sep,15,2025,Only God Was Above Us,0,30,10,Vampire Weekend,Montclair
Mansard Roof,Vampire Weekend,"Knox Farm State Park, East Aurora, NY, USA",Sep,13,2025,Only God Was Above Us,1,1,1,Vampire Weekend,East Aurora
Holiday,Vampire Weekend,"Knox Farm State Park, East Aurora, NY, USA",Sep,13,2025,Only God Was Above Us,1,2,15,Contra,East Aurora
Ice Cream Piano,Vampire Weekend,"Knox Farm State Park, East Aurora, NY, USA",Sep,13,2025,Only God Was Above Us,1,3,40,Only God Was Above Us,East Aurora
Classical,Vampire Weekend,"Knox Farm State Park, East Aurora, NY, USA",Sep,13,2025,Only God Was Above Us,1,4,37,Only God Was Above Us,East Aurora
Connect,Vampire Weekend,"Knox Farm State Park, East Aurora, NY, USA",Sep,13,2025,Only God Was Above Us,1,5,38,Only God Was Above Us,East Aurora
White Sky,Vampire Weekend,"Knox Farm State Park, East Aurora, NY, USA",Sep,13,2025,Only God Was Above Us,1,6,14,Contra,East Aurora
Step,Vampire Weekend,"Knox Farm State Park, East Aurora, NY, USA",Sep,13,2025,Only God Was Above Us,1,7,26,Modern Vampires of the City,East Aurora
This Life,Vampire Weekend,"Knox Farm State Park, East Aurora, NY, USA",Sep,13,2025,Only God Was Above Us,1,8,57,Father of the Bride,East Aurora
Sunflower,Vampire Weekend,"Knox Farm State Park, East Aurora, NY, USA",Sep,13,2025,Only God Was Above Us,1,9,65,Father of the Bride,East Aurora
Sympathy,Vampire Weekend,"Knox Farm State Park, East Aurora, NY, USA",Sep,13,2025,Only God Was Above Us,1,10,64,Father of the Bride,East Aurora
New Dorp. New York,Vampire Weekend,"Knox Farm State Park, East Aurora, NY, USA",Sep,13,2025,Only God Was Above Us,1,11,53,Other,East Aurora
Capricorn,Vampire Weekend,"Knox Farm State Park, East Aurora, NY, USA",Sep,13,2025,Only God Was Above Us,1,12,36,Only God Was Above Us,East Aurora
Gen-X Cops,Vampire Weekend,"Knox Farm State Park, East Aurora, NY, USA",Sep,13,2025,Only God Was Above Us,1,13,39,Only God Was Above Us,East Aurora
